S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
82963178,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,0.72,Chennai,ZONE4,Email,Low/No Usage,Taken a new airtel connection,Consumer,Gold,Individual
82963476,General,Updated,No Answer,Tamilnadu,Contacted,Flow to Field,0.33,Others,ZONE1,Out Call,Low/No Usage,Branch/ Project Closed,Consumer,Platinum,Individual
82963496,General,Updated,Dropped on No Answer,Karnataka,Contacted,Flow to Field,0.21,Bangalore,Bangalore South,Email,Shifting,Shifting abroad,Consumer,GoldNew,Home
82963552,General,Updated,No Answer,Gujarat,Contacted,Flow to Field,0,AHMEDABAD,Ahmedabad,Email,Low/No Usage,Branch/ Project Closed,Consumer,GoldNew,Home
82963672,General,Updated,Abandoned,Karnataka,Contacted,Flow to Field,,Mysore,Mysore,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Home
82963824,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,MADURAI,Madurai,Email,Low/No Usage,Taken a new competition connection,Consumer,Platinum,Home
82963946,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Individual
82964078,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Email,Low/No Usage,Taken a new airtel connection,Consumer,Platinum,Individual
82964124,General,Updated,Abandoned,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Voice Call,Shifting,Customer shifting to non wired city,Consumer,GoldNew,Individual
82964266,General,Updated,Abandoned,Andhra Pradesh,Contacted,Retained,,Hyderabad,Hyderabad Zone2,Email,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,GoldNew,Individual
82964446,General,Updated,Abandoned,Tamilnadu,Contacted,Flow to Field,,Others,ZONE2,Out Call,Low/No Usage,Taken a competition connection,Consumer,Platinum,Individual
82964492,General,Updated,Abandoned,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore East,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
82964686,General,Updated,Abandoned,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore East,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
82964688,General,Updated,Abandoned,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Individual
82965178,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Shifting,"Shifting to non wired area, within city",Consumer,GoldNew,Individual
82965186,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Coimbatore,Tirrupur,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Individual
82965394,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Out Call,Low/No Usage,Branch/ Project Closed,Consumer,Platinum,Individual
82965426,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting to non wired area, within city",Consumer,Gold,Home
82965436,General,Updated,Abandoned,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82965584,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Out Call,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Home
82965674,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Email,Network Experience,Browsing Experience,Consumer,Platinum,Home
82965728,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Email,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
82965792,General,Updated,Abandoned,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Email,Shifting,Shifting to non-wired area,Business,Platinum,Commercial
82965822,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Service Related,Poor Service at ARC's,Consumer,GoldNew,Individual
82965918,General,Updated,Abandoned,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Network Experience,Browsing Experience,Consumer,GoldNew,Home
82966000,General,Updated,Abandoned,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone2,Retention,Shifting,Already taken a competition connection,Consumer,Gold,Individual
82966334,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Competition,Higher Speed by competition,Consumer,Platinum,Individual
82966346,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82966978,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Service Related,Poor Service at Call Centre,Consumer,GoldNew,Individual
82967174,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Nodal email,Low/No Usage,User Shifting,Consumer,Gold,Home
82967176,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,GoldNew,Home
82967248,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Walkin,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Individual
82967488,General,Updated,No Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,CyberNET,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Home
82967528,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Email,Network Experience,Browsing Experience,Consumer,GoldNew,Individual
82967536,General,Updated,Abandoned,Mumbai,Contacted,Flow to Field,,Others,Central Mumbai,Email,Shifting,"Shifting to non wired area, within city",Consumer,Gold,Home
82967586,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE3,Voice Call,Shifting,Already taken a competition connection,Consumer,Platinum,Home
82967598,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Service Related,Complaint Resolution Pending-Network,Consumer,Platinum,Home
82967602,General,Updated,Abandoned,Mumbai,Contacted,Flow to Field,,Others,West Mumbai,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Home
82967724,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Chennai,ZONE3,Voice Call,Shifting,Customer doesn't want to shift due to number change,Consumer,Platinum,Micro
82968388,General,Updated,Abandoned,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Madurai,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
82968568,General,Updated,Abandoned,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Home
82969260,General,Updated,No Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone2,Retention,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Commercial
82969388,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Voice Call,Shifting,Shifting to non-wired area,Consumer,Gold,Individual
